model	field	ref_count
AutomationEvent	dedupeKey	81
AutomationEvent	status	2975
AutomationEvent	attempts	45
AutomationEvent	payload	560
AutomationEvent	errorMessage	75
AutomationEvent	occurredAt	14
AutomationEvent	lastAttemptAt	2
AutomationEvent	nextAttemptAt	16
AutomationEvent	processingStartedAt	10
AutomationEvent	processedAt	3
AutomationEvent	createdAt	643
AutomationEvent	updatedAt	216
AutomationEvent	tenant	1732
AutomationEvent	actor	7
AutomationEvent	runs	131
AutomationEvent	delayedRuns	0
AutomationRun	id	8922
AutomationRun	tenantId	4863
AutomationRun	automationId	42
AutomationRun	automationEventId	29
AutomationRun	status	2975
AutomationRun	executionMode	80
AutomationRun	eventName	297
AutomationRun	entityType	222
AutomationRun	entityId	159
AutomationRun	dedupeKey	81
AutomationRun	actorUserId	94
AutomationRun	triggerPayload	4
AutomationRun	flowGraphSnapshot	14
AutomationRun	stepOutput	48
AutomationRun	errorMessage	75
AutomationRun	startedAt	17
AutomationRun	completedAt	46
AutomationRun	tenant	1732
AutomationRun	automation	534
AutomationRun	event	490
AutomationRun	actor	7
AutomationRun	runSteps	16
AutomationRun	workItems	0
AutomationRun	transfers	123
AutomationRunStep	id	8922
AutomationRunStep	automationRunId	13
AutomationRunStep	automationStepId	15
AutomationRunStep	graphNodeId	30
AutomationRunStep	status	2975
AutomationRunStep	output	42
AutomationRunStep	errorMessage	75
AutomationRunStep	startedAt	17
AutomationRunStep	completedAt	46
AutomationRunStep	run	208
AutomationRunStep	step	210
AutomationDelayedRun	id	8922
AutomationDelayedRun	tenantId	4863
AutomationDelayedRun	automationEventId	29
AutomationDelayedRun	automationDefinitionId	7
AutomationDelayedRun	automationTriggerId	7
AutomationDelayedRun	fireAt	7
AutomationDelayedRun	status	2975
AutomationDelayedRun	errorMessage	75
AutomationDelayedRun	createdAt	643
AutomationDelayedRun	processedAt	3
AutomationDelayedRun	tenant	1732
AutomationDelayedRun	event	490
AutomationDelayedRun	automation	534
AutomationDelayedRun	trigger	327
WorkItem	id	8922
WorkItem	tenantId	4863
WorkItem	automationId	42
WorkItem	automationRunId	13
WorkItem	type	5892
WorkItem	status	2975
WorkItem	priority	203
WorkItem	title	1693
WorkItem	description	2284
WorkItem	dueDate	65
WorkItem	slaDueAt	0
WorkItem	assignedToId	220
WorkItem	createdById	188
WorkItem	completedAt	46
WorkItem	completedById	0
WorkItem	prefillPayload	3
WorkItem	metadata	123
WorkItem	createdAt	643
WorkItem	updatedAt	216
WorkItem	tenant	1732
WorkItem	automation	534
WorkItem	automationRun	7
WorkItem	assignedTo	30
WorkItem	createdBy	27
WorkItem	completedBy	0
WorkItem	links	150
WorkItemLink	id	8922
WorkItemLink	workItemId	1
WorkItemLink	entityType	222
WorkItemLink	entityId	159
WorkItemLink	inventorySignalId	2
WorkItemLink	createdAt	643
WorkItemLink	workItem	4
WorkItemLink	inventorySignal	4
Deal	id	8922
Deal	tenantId	4863
Deal	name	4672
Deal	value	3309
Deal	stage	351
Deal	probability	21
Deal	status	2975
Deal	expectedCloseDate	50
Deal	closedAt	38
Deal	lostReason	17
Deal	contactId	470
Deal	memberId	148
Deal	companyId	111
Deal	pipelineId	304
Deal	assignedToId	220
Deal	createdById	188
Deal	leadId	19
Deal	deletedAt	254
Deal	deletedBy	71
Deal	deleteReason	105
Deal	parentDealId	9
Deal	revisionNo	28
Deal	isLatest	65
Deal	editReason	38
Deal	editedById	7
Deal	editedAt	11
Deal	createdAt	643
Deal	updatedAt	216
Deal	tenant	1732
Deal	contact	803
Deal	member	508
Deal	company	206
Deal	pipeline	470
Deal	assignedTo	30
Deal	creator	27
Deal	editedBy	3
Deal	lead	305
Deal	parentDeal	0
Deal	revisions	0
Deal	tasks	122
Deal	activities	71
Deal	lineItems	22
Deal	remarketingSequences	0
DealLineItem	id	8922
DealLineItem	dealId	198
DealLineItem	productId	485
DealLineItem	variationId	514
DealLineItem	quantity	718
DealLineItem	unitPrice	148
DealLineItem	deal	775
DealLineItem	product	1686
DealLineItem	variation	468
Task	id	8922
Task	tenantId	4863
Task	title	1693
Task	dueDate	65
Task	completed	123
Task	status	2975
Task	priority	203
Task	contactId	470
Task	memberId	148
Task	dealId	198
Task	companyId	111
Task	assignedToId	220
Task	deletedAt	254
Task	deletedBy	71
Task	deleteReason	105
Task	createdAt	643
Task	updatedAt	216
Task	tenant	1732
Task	contact	803
Task	member	508
Task	deal	775
Task	company	206
Task	assignedTo	30
Activity	id	8922
Activity	tenantId	4863
Activity	type	5892
Activity	subject	85
Activity	notes	260
Activity	activityAt	39
Activity	contactId	470
Activity	memberId	148
Activity	dealId	198
Activity	createdById	188
Activity	deletedAt	254
Activity	deletedBy	71
Activity	deleteReason	105
Activity	createdAt	643
Activity	tenant	1732
Activity	contact	803
Activity	member	508
Activity	deal	775
Activity	creator	27
CrmSource	id	8922
CrmSource	tenantId	4863
CrmSource	name	4672
CrmSource	createdAt	643
CrmSource	updatedAt	216
CrmSource	tenant	1732
CrmJourneyType	id	8922
CrmJourneyType	tenantId	4863
CrmJourneyType	name	4672
CrmJourneyType	createdAt	643
CrmJourneyType	updatedAt	216
CrmJourneyType	tenant	1732
Notification	id	8922
Notification	userId	1018
Notification	type	5892
Notification	title	1693
Notification	message	2448
Notification	resourceType	36
Notification	resourceId	296
Notification	readAt	20
Notification	createdAt	643
Notification	user	1335
RemarketingSequence	id	8922
RemarketingSequence	tenantId	4863
RemarketingSequence	contactId	470
RemarketingSequence	dealId	198
RemarketingSequence	sequenceDay	7
RemarketingSequence	message	2448
RemarketingSequence	scheduledAt	7
RemarketingSequence	executedAt	2
RemarketingSequence	status	2975
RemarketingSequence	createdAt	643
RemarketingSequence	tenant	1732
RemarketingSequence	contact	803
RemarketingSequence	deal	775
MessagingChannel	id	8922
MessagingChannel	tenantId	4863
MessagingChannel	provider	98
MessagingChannel	name	4672
MessagingChannel	status	2975
MessagingChannel	externalId	49
MessagingChannel	credentialsEnc	16
MessagingChannel	webhookVerifyToken	28
MessagingChannel	metadata	123
MessagingChannel	connectedAt	5
MessagingChannel	disconnectedAt	3
MessagingChannel	createdAt	643
MessagingChannel	updatedAt	216
MessagingChannel	tenant	1732
MessagingChannel	conversations	52
Conversation	id	8922
Conversation	tenantId	4863
Conversation	channelId	41
Conversation	participantId	36
Conversation	participantName	12
Conversation	participantProfilePictureUrl	8
Conversation	contactId	470
Conversation	status	2975
Conversation	assignedToId	220
Conversation	lastMessageAt	18
Conversation	lastMessageText	14
Conversation	unreadCount	18
Conversation	createdAt	643
Conversation	updatedAt	216
Conversation	tenant	1732
Conversation	channel	93
Conversation	contact	803
Conversation	assignedTo	30
Conversation	messages	92
Message	id	8922
Message	conversationId	158
Message	direction	45
Message	status	2975
Message	contentType	69
Message	textContent	51
Message	mediaPayload	30
Message	mediaAssetId	31
Message	providerMessageId	16
Message	sentById	5
Message	errorDetails	1
Message	sentAt	8
Message	deliveredAt	7
Message	readAt	20
Message	createdAt	643
Message	editedAt	11
Message	replyToId	19
Message	conversation	111
Message	sentBy	7
Message	replyTo	22
Message	replies	3
Message	reactions	29
Message	mediaAsset	10
MessageReaction	id	8922
MessageReaction	messageId	108
MessageReaction	userId	1018
MessageReaction	externalParticipantId	9
MessageReaction	reactionOwnerKey	15
MessageReaction	emoji	157
MessageReaction	createdAt	643
MessageReaction	message	2448
MessageReaction	user	1335
Bundle	id	8922
Bundle	tenantId	4863
Bundle	name	4672
Bundle	slug	1154
Bundle	description	2284
Bundle	productIds	179
Bundle	pricingStrategy	55
Bundle	discountPct	62
Bundle	fixedPrice	43
Bundle	active	361
Bundle	createdAt	643
Bundle	updatedAt	216
Bundle	deletedAt	254
Bundle	tenant	1732
GiftCard	id	8922
GiftCard	tenantId	4863
GiftCard	code	871
GiftCard	amount	275
GiftCard	balance	104
GiftCard	purchaserId	17
GiftCard	recipientEmail	27
GiftCard	expiresAt	81
GiftCard	status	2975
GiftCard	createdAt	643
GiftCard	updatedAt	216
GiftCard	tenant	1732
WebhookEvent	id	8922
WebhookEvent	providerEventId	22
WebhookEvent	provider	98
WebhookEvent	eventType	24
WebhookEvent	processedAt	3
WebhookEvent	rawPayload	2
RbacRole	id	8922
RbacRole	tenantId	4863
RbacRole	name	4672
RbacRole	priority	203
RbacRole	permissions	455
RbacRole	isSystem	25
RbacRole	color	1122
RbacRole	createdAt	643
RbacRole	updatedAt	216
RbacRole	tenant	1732
RbacRole	users	265
RbacRole	overwrites	75
UserRole	userId	1018
UserRole	roleId	220
UserRole	tenantId	4863
UserRole	assignedAt	8
UserRole	assignedBy	2
UserRole	user	1335
UserRole	rbacRole	17
UserRole	tenant	1732
Resource	id	8922
Resource	tenantId	4863
Resource	type	5892
Resource	externalId	49
Resource	parentId	50
Resource	path	581
Resource	depth	83
Resource	createdAt	643
Resource	tenant	1732
Resource	parent	192
Resource	children	536
Resource	overwrites	75
PermissionOverwrite	id	8922
PermissionOverwrite	tenantId	4863
PermissionOverwrite	resourceId	296
PermissionOverwrite	subjectType	65
PermissionOverwrite	roleId	220
PermissionOverwrite	userId	1018
PermissionOverwrite	allow	145
PermissionOverwrite	deny	113
PermissionOverwrite	createdAt	643
PermissionOverwrite	updatedAt	216
PermissionOverwrite	tenant	1732
PermissionOverwrite	resource	190
PermissionOverwrite	rbacRole	17
PermissionOverwrite	user	1335
TenantBusinessProfile	id	8922
TenantBusinessProfile	tenantId	4863
TenantBusinessProfile	legalName	20
TenantBusinessProfile	displayName	31
TenantBusinessProfile	tagline	81
TenantBusinessProfile	logoUrl	36
TenantBusinessProfile	faviconUrl	32
TenantBusinessProfile	email	371
TenantBusinessProfile	phone	677
TenantBusinessProfile	alternatePhone	12
TenantBusinessProfile	websiteUrl	12
TenantBusinessProfile	addressLine1	15
TenantBusinessProfile	addressLine2	13
TenantBusinessProfile	city	15
TenantBusinessProfile	state	502
TenantBusinessProfile	postalCode	15
TenantBusinessProfile	country	49
TenantBusinessProfile	mapUrl	20
TenantBusinessProfile	panNumber	14
TenantBusinessProfile	vatNumber	14
TenantBusinessProfile	registrationNumber	15
TenantBusinessProfile	taxId	15
TenantBusinessProfile	defaultCurrency	16
TenantBusinessProfile	timezone	17
TenantBusinessProfile	socials	33
TenantBusinessProfile	createdAt	643
TenantBusinessProfile	updatedAt	216
TenantBusinessProfile	tenant	1732
